Volume m3,Ground Surface m2,Amount Buildings,Surface Build %,Inset 1,Inset 2,Inset 3,Inset 4,Inset 5,Inset 6,Inset 7,Inset 8,Inset 9,Height 1,Height 2,Height 3,Height 4,Height 5,Height 6,Height 7,Height 8,Height 9,Roof 1,Roof 2,Roof 3,Roof 4,Roof 5,Roof 6,Roof 7,Roof 8,Roof 9
1367.59,263.25,6,16.5,0.55,0.73,0.3,0.48,0.39,0.0,0.41,0.0,0.0,7.23,2.31,8.6,7.22,7.04,0.0,4.46,0.0,0.0,1,1,0,0,1,0,1,0,0
3341.44,451.49,9,28.2,0.56,0.32,0.63,0.56,0.55,0.5,0.42,0.67,0.48,8.61,10.5,5.49,8.13,12.72,12.76,3.51,4.49,2.62,0,1,1,0,0,1,0,1,0
5369.87,594.99,9,37.2,0.63,0.72,0.47,0.61,0.84,0.84,0.38,0.42,0.33,13.6,8.57,13.67,10.58,10.37,4.59,13.72,2.07,5.04,0,0,1,1,0,0,0,1,1
4733.07,618.5,8,38.7,0.88,0.63,0.88,0.73,0.72,0.43,0.0,0.3,0.45,4.66,12.45,4.48,13.02,7.86,9.34,0.0,8.22,5.56,0,0,1,1,1,0,0,1,0
2252.42,310.57,4,19.4,0.0,0.0,0.0,0.0,0.59,0.67,0.76,0.61,0.0,0.0,0.0,0.0,0.0,3.29,9.14,8.36,7.03,0.0,0,0,0,0,1,0,1,1,0
1563.91,290.37,4,18.1,0.84,0.5,0.0,0.0,0.0,0.0,0.62,0.55,0.0,2.92,11.36,0.0,0.0,0.0,0.0,8.01,2.86,0.0,0,1,0,0,0,0,1,0,0
3390.77,363.82,5,22.7,0.0,0.77,0.56,0.73,0.0,0.62,0.0,0.0,0.46,0.0,13.62,12.43,8.37,0.0,2.14,0.0,0.0,8.27,0,1,0,1,0,0,0,0,1
1729.54,261.86,4,16.4,0.0,0.0,0.82,0.0,0.44,0.0,0.56,0.54,0.0,0.0,0.0,7.95,0.0,3.71,0.0,7.02,4.98,0.0,0,0,1,0,0,0,1,1,0
1638.7,228.41,6,14.3,0.31,0.6,0.6,0.0,0.39,0.0,0.0,0.45,0.35,11.26,2.25,9.6,0.0,7.98,0.0,0.0,11.13,4.03,0,0,0,0,1,0,0,0,0
2562.93,384.81,5,24.1,0.76,0.0,0.68,0.0,0.6,0.43,0.0,0.76,0.0,4.16,0.0,7.56,0.0,7.04,7.83,0.0,7.85,0.0,1,0,1,0,0,1,0,0,0
149.81,62.39,1,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0,0,0,0,0,0,0,1,0
4636.51,490.08,7,30.6,0.39,0.0,0.46,0.0,0.31,0.85,0.84,0.32,0.87,11.33,0.0,11.89,0.0,13.67,7.44,9.31,11.31,9.7,1,0,1,0,0,1,1,0,1
1679.15,299.81,3,18.7,0.0,0.0,0.0,0.88,0.0,0.57,0.0,0.77,0.0,0.0,0.0,0.0,2.1,0.0,13.49,0.0,5.82,0.0,0,0,0,0,0,0,0,0,0
3860.57,661.85,9,41.4,0.61,0.76,0.82,0.3,0.49,0.87,0.61,0.49,0.62,12.19,4.15,2.65,6.34,5.3,8.36,5.67,5.65,3.34,1,0,0,0,1,1,0,0,0
2299.46,426.42,9,26.7,0.81,0.41,0.33,0.52,0.47,0.62,0.48,0.48,0.37,4.68,8.28,8.61,2.55,6.33,4.68,10.26,3.96,2.84,0,1,0,1,1,0,0,1,1
2206.91,291.0,6,18.2,0.43,0.0,0.63,0.0,0.52,0.0,0.71,0.4,0.34,5.54,0.0,4.3,0.0,11.44,0.0,9.65,8.91,2.47,1,0,0,0,1,0,1,1,1
922.11,101.41,2,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,9.99,0.0,5.08,0,0,0,0,0,0,1,0,1
2404.58,298.51,4,18.7,0.0,0.6,0.0,0.41,0.81,0.0,0.7,0.0,0.0,0.0,11.13,0.0,3.66,5.98,0.0,10.06,0.0,0.0,0,0,0,1,0,0,1,0,0
2867.63,314.27,6,19.6,0.36,0.76,0.45,0.0,0.5,0.35,0.7,0.0,0.0,9.06,12.77,12.7,0.0,2.43,10.3,6.54,0.0,0.0,1,0,1,0,0,0,1,0,0
1449.44,376.15,4,23.5,0.0,0.84,0.0,0.79,0.0,0.72,0.53,0.0,0.0,0.0,5.47,0.0,2.26,0.0,2.61,5.63,0.0,0.0,0,1,0,0,0,1,1,0,0
2833.13,392.94,9,24.6,0.33,0.47,0.73,0.31,0.42,0.33,0.48,0.7,0.48,4.5,7.78,7.05,12.31,4.05,6.07,5.25,10.29,4.64,1,1,0,0,0,0,0,1,0
2898.69,312.69,6,19.5,0.43,0.59,0.55,0.0,0.4,0.5,0.0,0.71,0.0,8.21,13.36,11.19,0.0,4.65,10.23,0.0,6.71,0.0,1,0,0,0,0,0,0,0,0
4702.59,392.77,4,24.5,0.61,0.87,0.76,0.0,0.0,0.71,0.0,0.0,0.0,13.52,10.39,14.0,0.0,0.0,10.88,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0
1329.98,268.29,3,16.8,0.0,0.0,0.9,0.0,0.0,0.74,0.0,0.0,0.38,0.0,0.0,5.35,0.0,0.0,3.41,0.0,0.0,8.67,0,0,0,0,0,1,0,0,0
2858.43,335.44,5,21.0,0.82,0.65,0.47,0.41,0.0,0.0,0.0,0.0,0.63,5.7,8.23,11.22,11.47,0.0,0.0,0.0,0.0,10.87,0,0,0,1,0,0,0,0,1
4164.62,453.13,6,28.3,0.0,0.0,0.76,0.0,0.82,0.41,0.46,0.6,0.74,0.0,0.0,10.82,0.0,6.6,13.75,12.72,4.52,10.9,0,0,1,0,0,0,0,1,0
3447.8,426.75,4,26.7,0.0,0.79,0.74,0.82,0.0,0.0,0.0,0.0,0.75,0.0,8.73,3.5,6.77,0.0,0.0,0.0,0.0,13.46,0,1,0,0,0,0,0,0,1
1976.3,201.74,2,12.6,0.74,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,12.37,0.0,0.0,0.0,7.43,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0
3966.77,491.14,6,30.7,0.82,0.47,0.0,0.76,0.57,0.63,0.0,0.0,0.76,9.73,6.57,0.0,3.96,13.55,6.16,0.0,0.0,9.03,1,1,0,0,1,0,0,0,0
